1f44a-1f3fd,oncoming-fist-medium-skin-tone
1f44a-1f3fe,oncoming-fist-medium-dark-skin-tone
1f44a-1f3ff,oncoming-fist-dark-skin-tone
1f91b-1f3fb,left-facing-fist-light-skin-tone
1f91b-1f3fc,left-facing-fist-medium-light-skin-tone
1f91b-1f3fd,left-facing-fist-medium-skin-tone
1f91b-1f3fe,left-facing-fist-medium-dark-skin-tone
1f91b-1f3ff,left-facing-fist-dark-skin-tone
1f91c-1f3fb,right-facing-fist-light-skin-tone
1f91c-1f3fc,right-facing-fist-medium-light-skin-tone
1f91c-1f3fd,right-facing-fist-medium-skin-tone
1f91c-1f3fe,right-facing-fist-medium-dark-skin-tone
1f91c-1f3ff,right-facing-fist-dark-skin-tone
1f44f-1f3fb,clapping-hands-light-skin-tone
1f44f-1f3fc,clapping-hands-medium-light-skin-tone
1f44f-1f3fd,clapping-hands-medium-skin-tone
1f44f-1f3fe,clapping-hands-medium-dark-skin-tone
1f44f-1f3ff,clapping-hands-dark-skin-tone
1f64c-1f3fb,raising-hands-light-skin-tone
1f64c-1f3fc,raising-hands-medium-light-skin-tone
1f64c-1f3fd,raising-hands-medium-skin-tone
1f64c-1f3fe,raising-hands-medium-dark-skin-tone
1f64c-1f3ff,raising-hands-dark-skin-tone
1f450-1f3fb,open-hands-light-skin-tone
1f450-1f3fc,open-hands-medium-light-skin-tone
1f450-1f3fd,open-hands-medium-skin-tone
1f450-1f3fe,open-hands-medium-dark-skin-tone
1f450-1f3ff,open-hands-dark-skin-tone
1f932-1f3fb,palms-up-together-light-skin-tone
1f932-1f3fc,palms-up-together-medium-light-skin-tone
1f932-1f3fd,palms-up-together-medium-skin-tone
1f932-1f3fe,palms-up-together-medium-dark-skin-tone
1f932-1f3ff,palms-up-together-dark-skin-tone
1f64f-1f3fb,folded-hands-light-skin-tone
1f64f-1f3fc,folded-hands-medium-light-skin-tone
1f64f-1f3fd,folded-hands-medium-skin-tone
1f64f-1f3fe,folded-hands-medium-dark-skin-tone
1f64f-1f3ff,folded-hands-dark-skin-tone
270d-1f3fb,writing-hand-light-skin-tone
270d-1f3fc,writing-hand-medium-light-skin-tone
270d-1f3fd,writing-hand-medium-skin-tone
270d-1f3fe,writing-hand-medium-dark-skin-tone
270d-1f3ff,writing-hand-dark-skin-tone
1f485-1f3fb,nail-polish-light-skin-tone
1f485-1f3fc,nail-polish-medium-light-skin-tone
1f485-1f3fd,nail-polish-medium-skin-tone
1f485-1f3fe,nail-polish-medium-dark-skin-tone
1f485-1f3ff,nail-polish-dark-skin-tone
1f933-1f3fb,selfie-light-skin-tone
1f933-1f3fc,selfie-medium-light-skin-tone
1f933-1f3fd,selfie-medium-skin-tone
1f933-1f3fe,selfie-medium-dark-skin-tone
1f933-1f3ff,selfie-dark-skin-tone
1f4aa-1f3fb,flexed-biceps-light-skin-tone
1f4aa-1f3fc,flexed-biceps-medium-light-skin-tone
1f4aa-1f3fd,flexed-biceps-medium-skin-tone
1f4aa-1f3fe,flexed-biceps-medium-dark-skin-tone
1f4aa-1f3ff,flexed-biceps-dark-skin-tone
1f9b5-1f3fb,leg-light-skin-tone
1f9b5-1f3fc,leg-medium-light-skin-tone
1f9b5-1f3fd,leg-medium-skin-tone
1f9b5-1f3fe,leg-medium-dark-skin-tone
1f9b5-1f3ff,leg-dark-skin-tone
1f9b6-1f3fb,foot-light-skin-tone
1f9b6-1f3fc,foot-medium-light-skin-tone
1f9b6-1f3fd,foot-medium-skin-tone
1f9b6-1f3fe,foot-medium-dark-skin-tone
1f9b6-1f3ff,foot-dark-skin-tone
1f442-1f3fb,ear-light-skin-tone
1f442-1f3fc,ear-medium-light-skin-tone
1f442-1f3fd,ear-medium-skin-tone
1f442-1f3fe,ear-medium-dark-skin-tone
1f442-1f3ff,ear-dark-skin-tone
1f9bb-1f3fb,ear-with-hearing-aid-light-skin-tone
1f9bb-1f3fc,ear-with-hearing-aid-medium-light-skin-tone
1f9bb-1f3fd,ear-with-hearing-aid-medium-skin-tone
1f9bb-1f3fe,ear-with-hearing-aid-medium-dark-skin-tone
1f9bb-1f3ff,ear-with-hearing-aid-dark-skin-tone
1f443-1f3fb,nose-light-skin-tone
1f443-1f3fc,nose-medium-light-skin-tone
1f443-1f3fd,nose-medium-skin-tone
1f443-1f3fe,nose-medium-dark-skin-tone
1f443-1f3ff,nose-dark-skin-tone
1f476-1f3fb,baby-light-skin-tone
1f476-1f3fc,baby-medium-light-skin-tone
1f476-1f3fd,baby-medium-skin-tone
1f476-1f3fe,baby-medium-dark-skin-tone
1f476-1f3ff,baby-dark-skin-tone
1f9d2-1f3fb,child-light-skin-tone
1f9d2-1f3fc,child-medium-light-skin-tone
1f9d2-1f3fd,child-medium-skin-tone
1f9d2-1f3fe,child-medium-dark-skin-tone
1f9d2-1f3ff,child-dark-skin-tone
1f466-1f3fb,boy-light-skin-tone
1f466-1f3fc,boy-medium-light-skin-tone
1f466-1f3fd,boy-medium-skin-tone
1f466-1f3fe,boy-medium-dark-skin-tone
1f466-1f3ff,boy-dark-skin-tone
1f467-1f3fb,girl-light-skin-tone
1f467-1f3fc,girl-medium-light-skin-tone
1f467-1f3fd,girl-medium-skin-tone
1f467-1f3fe,girl-medium-dark-skin-tone
1f467-1f3ff,girl-dark-skin-tone
1f9d1-1f3fb,person-light-skin-tone
1f9d1-1f3fc,person-medium-light-skin-tone
1f9d1-1f3fd,person-medium-skin-tone
1f9d1-1f3fe,person-medium-dark-skin-tone
1f9d1-1f3ff,person-dark-skin-tone
1f471-1f3fb,person-light-skin-tone-blond-hair
1f471-1f3fc,person-medium-light-skin-tone-blond-hair
1f471-1f3fd,person-medium-skin-tone-blond-hair
1f471-1f3fe,person-medium-dark-skin-tone-blond-hair
1f471-1f3ff,person-dark-skin-tone-blond-hair
1f468-1f3fb,man-light-skin-tone
1f468-1f3fc,man-medium-light-skin-tone
1f468-1f3fd,man-medium-skin-tone
1f468-1f3fe,man-medium-dark-skin-tone
1f468-1f3ff,man-dark-skin-tone
1f9d4-1f3fb,man-light-skin-tone-beard
1f9d4-1f3fc,man-medium-light-skin-tone-beard
1f9d4-1f3fd,man-medium-skin-tone-beard
1f9d4-1f3fe,man-medium-dark-skin-tone-beard
1f9d4-1f3ff,man-dark-skin-tone-beard
1f468-1f3fb-200d-1f9b0,man-light-skin-tone-red-hair
1f468-1f3fc-200d-1f9b0,man-medium-light-skin-tone-red-hair
1f468-1f3fd-200d-1f9b0,man-medium-skin-tone-red-hair
1f468-1f3fe-200d-1f9b0,man-medium-dark-skin-tone-red-hair
1f468-1f3ff-200d-1f9b0,man-dark-skin-tone-red-hair
1f468-1f3fb-200d-1f9b1,man-light-skin-tone-curly-hair
1f468-1f3fc-200d-1f9b1,man-medium-light-skin-tone-curly-hair
1f468-1f3fd-200d-1f9b1,man-medium-skin-tone-curly-hair
1f468-1f3fe-200d-1f9b1,man-medium-dark-skin-tone-curly-hair
1f468-1f3ff-200d-1f9b1,man-dark-skin-tone-curly-hair
1f468-1f3fb-200d-1f9b3,man-light-skin-tone-white-hair
1f468-1f3fc-200d-1f9b3,man-medium-light-skin-tone-white-hair
1f468-1f3fd-200d-1f9b3,man-medium-skin-tone-white-hair
1f468-1f3fe-200d-1f9b3,man-medium-dark-skin-tone-white-hair
1f468-1f3ff-200d-1f9b3,man-dark-skin-tone-white-hair
1f468-1f3fb-200d-1f9b2,man-light-skin-tone-bald
1f468-1f3fc-200d-1f9b2,man-medium-light-skin-tone-bald
1f468-1f3fd-200d-1f9b2,man-medium-skin-tone-bald
1f468-1f3fe-200d-1f9b2,man-medium-dark-skin-tone-bald
1f468-1f3ff-200d-1f9b2,man-dark-skin-tone-bald
1f469-1f3fb,woman-light-skin-tone
1f469-1f3fc,woman-medium-light-skin-tone
1f469-1f3fd,woman-medium-skin-tone
1f469-1f3fe,woman-medium-dark-skin-tone
1f469-1f3ff,woman-dark-skin-tone
1f469-1f3fb-200d-1f9b0,woman-light-skin-tone-red-hair
1f469-1f3fc-200d-1f9b0,woman-medium-light-skin-tone-red-hair
1f469-1f3fd-200d-1f9b0,woman-medium-skin-tone-red-hair
1f469-1f3fe-200d-1f9b0,woman-medium-dark-skin-tone-red-hair
1f469-1f3ff-200d-1f9b0,woman-dark-skin-tone-red-hair
1f9d1-1f3fb-200d-1f9b0,person-light-skin-tone-red-hair
1f9d1-1f3fc-200d-1f9b0,person-medium-light-skin-tone-red-hair
1f9d1-1f3fd-200d-1f9b0,person-medium-skin-tone-red-hair
1f9d1-1f3fe-200d-1f9b0,person-medium-dark-skin-tone-red-hair
1f9d1-1f3ff-200d-1f9b0,person-dark-skin-tone-red-hair
1f469-1f3fb-200d-1f9b1,woman-light-skin-tone-curly-hair
1f469-1f3fc-200d-1f9b1,woman-medium-light-skin-tone-curly-hair
1f469-1f3fd-200d-1f9b1,woman-medium-skin-tone-curly-hair
1f469-1f3fe-200d-1f9b1,woman-medium-dark-skin-tone-curly-hair
1f469-1f3ff-200d-1f9b1,woman-dark-skin-tone-curly-hair
1f9d1-1f3fb-200d-1f9b1,person-light-skin-tone-curly-hair
1f9d1-1f3fc-200d-1f9b1,person-medium-light-skin-tone-curly-hair
1f9d1-1f3fd-200d-1f9b1,person-medium-skin-tone-curly-hair
1f9d1-1f3fe-200d-1f9b1,person-medium-dark-skin-tone-curly-hair
1f9d1-1f3ff-200d-1f9b1,person-dark-skin-tone-curly-hair
1f469-1f3fb-200d-1f9b3,woman-light-skin-tone-white-hair
1f469-1f3fc-200d-1f9b3,woman-medium-light-skin-tone-white-hair
1f469-1f3fd-200d-1f9b3,woman-medium-skin-tone-white-hair
1f469-1f3fe-200d-1f9b3,woman-medium-dark-skin-tone-white-hair
1f469-1f3ff-200d-1f9b3,woman-dark-skin-tone-white-hair
1f9d1-1f3fb-200d-1f9b3,person-light-skin-tone-white-hair
1f9d1-1f3fc-200d-1f9b3,person-medium-light-skin-tone-white-hair
1f9d1-1f3fd-200d-1f9b3,person-medium-skin-tone-white-hair
1f9d1-1f3fe-200d-1f9b3,person-medium-dark-skin-tone-white-hair
1f9d1-1f3ff-200d-1f9b3,person-dark-skin-tone-white-hair
1f469-1f3fb-200d-1f9b2,woman-light-skin-tone-bald
1f469-1f3fc-200d-1f9b2,woman-medium-light-skin-tone-bald
1f469-1f3fd-200d-1f9b2,woman-medium-skin-tone-bald
1f469-1f3fe-200d-1f9b2,woman-medium-dark-skin-tone-bald
1f469-1f3ff-200d-1f9b2,woman-dark-skin-tone-bald
